一	heng	hv
𢿏	piaopu	pp
𢿐	yaowen	yw
𢿑	zhanpu	zp
𢿒	guanpu	gp
𢿓	buwen	bw
𢿔	chuwen	cw
𢿕	manpu	mp
𢿖	piaowen	pw
𢿗	lunwen	lw
𢿘	loupu	lp
𢿙	louwen	lw
𢿚	youpu	yp
𢿛	quwen	qw
𢿜	manwen	mw
𢿝	bupu	bp
𢿞	liaopu	lp
𢿟	gongpu	gp
𢿠	benpu	bp
𢿡	bupu	bp
𢿢	zhaopu	zp
𢿣	yaopu	yp
𢿤	dengpu	dp
𢿥	fanpu	fp
𢿦	chengwen	cw
𢿧	tangpu	tp
𢿨	linpu	lp
𢿩	caopu	cp
𢿪	dipu	dp
𢿫	shuzheng	sz
𢿬	baiwen	bw
𢿭	huzhuo	hz
𢿮	zhaopu	zp
𢿯	caowen	cw
𢿰	shiwen	sw
𢿱	linwen	lw
𢿲	yaowen	yw
𢿳	zhaowen	zw
𢿴	hewen	hw
𢿵	tangwen	tw
𢿶	buwen	bw
𢿷	qiupu	qp
𢿸	cepu	cp
𢿹	xinpu	xp
𢿺	zhuopu	zp
𢿻	linwen	lw
𢿼	xunwen	xw
𢿽	chengwen	cw
𢿾	zaopu	zp
𢿿	sepu	sp
𣀀	leipu	lp
𣀁	zhanpu	zp
𣀂	lipu	lp
𣀃	lianpu	lp
𣀄	junpu	jp
𣀅	yewen	yw
𣀆	qunwen	qw
𣀇	sipu	sp
𣀈	shuwen	sw
𣀉	zaowen	zw
𣀊	lianwen	lw
𣀋	gongwen	gw
𣀌	kouwen	kw
𣀍	shipu	sp
𣀎	zhaopu	zp
𣀏	shangpu	sp
𣀐	ziwen	zw
𣀑	erpu	ep
𣀒	jupu	jp
𣀓	shoupu	sp
𣀔	suanpu	sp
𣀕	beipu	bp
𣀖	zhupu	zp
𣀗	yalai	yl
𣀘	shouwen	sw
𣀙	linpu	lp
𣀚	bazheng	bz
𣀛	baopu	bp
𣀜	tianpu	tp
𣀝	lepu	lp
𣀞	lvpu	lp
𣀟	bashu	bs
𣀠	baowen	bw
𣀡	tianwen	tw
𣀢	yanwen	yw
𣀣	xianwen	xw
𣀤	huaipu	hp
𣀥	lipu	lp
𣀦	erpu	ep
𣀧	linpu	lp
𣀨	huopu	hp
𣀩	huaiwen	hw
𣀪	huopu	hp
𣀫	mapu	mp
𣀬	qiwen	qw
𣀭	jiuwen	jw
𣀮	xiangpu	xp
𣀯	mapu	mp
𣀰	mipu	mp
𣀱	miwen	mw
𣀲	fenpu	fp
𣀳	niewen	nw
𣀴	changdian	cd
𣀵	luanpu	lp
𣀶	zanpu	zp
𣀷	lipu	lp
𣀸	jianwen	jw
𣀹	zanwen	zw
𣀺	jianpu	jp
𣀻	shupu	sp
𣀼	shuwen	sw
𣀽	bitian	bt
𣀾	huopu	hp
𣀿	xiwen	xw
𣁀	xianpu	xp
𣁁	renwen	rw
𣁂	xiaowen	xw
𣁃	wenxiao	wx
𣁄	wenniu	wn
𣁅	fangwen	fw
𣁆	wenbi	wb
𣁇	wenzheng	wz
𣁈	wenbao	wb
𣁉	biwen	bw
𣁊	bingwen	bw
𣁋	shanwen	sw
𣁌	wenzao	wz
𣁍	zhaowen	zw
𣁎	wenyan	wy
𣁏	yuwen	yw
𣁐	wenjian	wj
𣁑	wenzhu	wz
𣁒	nianwen	nw
𣁓	niaowen	nw
𣁔	linju	lj
𣁕	wenwen	ww
𣁖	zhuowen	zw
𣁗	tanwen	tw
𣁘	wenguo	wg
𣁙	caowen	cw
𣁚	wenji	wj
𣁛	weiwen	ww
𣁜	manwen	mw
𣁝	caiwen	cw
𣁞	yiwen	yw
𣁟	weiwen	ww
𣁠	wenyong	wy
𣁡	wenpiao	wp
𣁢	biwen	bw
𣁣	linwen	lw
𣁤	chunwen	cw
𣁥	wenjian	wj
𣁦	binquan	bq
𣁧	yanwen	yw
𣁨	hengwen	hw
𣁩	wengen	wg
𣁪	wenqie	wq
𣁫	wenxue	wx
𣁬	kuangshi	ks
𣁭	yidou	yd
𣁮	fengdou	fd
𣁯	douyuan	dy
𣁰	doujin	dj
𣁱	shendou	sd
𣁲	doudong	dd
𣁳	shedou	sd
𣁴	hedou	hd
𣁵	yangdou	yd
𣁶	douzhao	dz
𣁷	lvedou	ld
𣁸	changdou	cd
𣁹	douyou	dy
𣁺	fendou	fd
𣁻	doucun	dc
𣁼	erdou	ed
𣁽	baidou	bd
𣁾	doudou	dd
𣁿	douzhao	dz
𣂀	changdou	cd
𣂁	guangdou	gd
𣂂	wendou	wd
𣂃	zhedou	zd
𣂄	guodou	gd
𣂅	lidou	ld
𣂆	pangdou	pd
𣂇	doufei	df
𣂈	huodou	hd
𣂉	didou	dd
𣂊	weidou	wd
𣂋	hugao	hg
𣂌	doushu	ds
𣂍	shidou	sd
𣂎	mandou	md
𣂏	dadou	dd
𣂐	fudou	fd
𣂑	changshi	cs
𣂒	lijin	lj
𣂓	jintu	jt
𣂔	pianjin	pj
𣂕	qijin	qj
𣂖	kaijin	kj
𣂗	jingjin	jj
𣂘	bujin	bj
𣂙	jinchi	jc
𣂚	caojin	cj
𣂛	zhujin	zj
𣂜	chenjin	cj
𣂝	jinxiang	jx
𣂞	liangjin	lj
𣂟	shanjin	sj
𣂠	shanjin	sj
𣂡	shijin	sj
𣂢	zhanjin	zj
𣂣	zhuojin	zj
𣂤	pengjin	pj
𣂥	changjin	cj
𣂦	qijin	qj
𣂧	jianjin	jj
𣂨	yijin	yj
𣂩	chuijin	cj
𣂪	yajin	yj
𣂫	shanjin	sj
𣂬	jinfou	jf
𣂭	zhaojin	zj
𣂮	yujin	yj
𣂯	zhijin	zj
𣂰	hejin	hj
𣂱	yaojin	yj
𣂲	shanjin	sj
𣂳	tingjin	tj
𣂴	jinting	jt
𣂵	tuanjin	tj
𣂶	zhijin	zj
𣂷	jinjin	jj
𣂸	zhanjin	zj
𣂹	shanjin	sj
𣂺	lijin	lj
𣂻	qujin	qj
𣂼	caojin	cj
𣂽	guojin	gj
𣂾	yaojin	yj
𣂿	sijin	sj
𣃀	congjin	cj
𣃁	shujin	sj
𣃂	huajin	hj
𣃃	maojin	mj
𣃄	caojin	cj
𣃅	jintu	jt
𣃆	dengjin	dj
𣃇	zhujin	zj
𣃈	zhujin	zj
𣃉	jindang	jd
𣃊	mujin	mj
𣃋	maojin	mj
𣃌	yanjin	yj
𣃍	suanjin	sj
𣃎	xinjin	xj
𣃏	jinjin	jj
𣃐	jinli	jl
𣃑	zhujin	zj
𣃒	mujin	mj
𣃓	pinjin	pj
𣃔	yaojin	yj
𣃕	caojin	cj
𣃖	qujin	qj
𣃗	fangdao	fd
𣃘	fangge	fg
𣃙	hengfang	hf
𣃚	fangkang	fk
𣃛	fanghuo	fh
𣃜	doufang	df
𣃝	fangyang	fy
𣃞	changfang	cf
𣃟	xiafang	xf
𣃠	fangling	fl
𣃡	fangxuan	fx
𣃢	fangwang	fw
𣃣	fangpi	fp
𣃤	pifang	pf
𣃥	fanger	fe
𣃦	fangwu	fw
𣃧	fangri	fr
𣃨	fangcong	fc
𣃩	fangzi	fz
𣃪	hengfang	hf
𣃫	fangdiao	fd
𣃬	fangsheng	fs
𣃭	fangjie	fj
𣃮	fangshi	fs
𣃯	fangdan	fd
𣃰	fangnei	fn
𣃱	fangkuang	fk
𣃲	fangfan	ff
𣃳	fangyou	fy
𣃴	fangqiu	fq
𣃵	fangshen	fs
𣃶	yuer	ye
𣃷	fangqiu	fq
𣃸	rifang	rf
𣃹	fangmin	fm
𣃺	fanggu	fg
𣃻	fangjia	fj
𣃼	fangzhou	fz
𣃽	fangduo	fd
𣃾	fangyan	fy
𣃿	fangbei	fb
𣄀	fangquan	fq
𣄁	fangshou	fs
𣄂	fangjie	fj
𣄃	fangqi	fq
𣄄	fangqin	fq
𣄅	fangkou	fk
𣄆	fangyi	fy
𣄇	fanglun	fl
𣄈	fangjun	fj
𣄉	fangyou	fy
𣄊	fangyu	fy
𣄋	wangfang	wf
𣄌	fangbei	fb
𣄍	fangshi	fs
𣄎	fangfu	ff
𣄏	fangfen	ff
𣄐	fanglian	fl
𣄑	fangyan	fy
𣄒	yuzai	yz
𣄓	fangbi	fb
𣄔	fangpiao	fp
𣄕	fangyin	fy
𣄖	fangfeng	ff
𣄗	fangyi	fy
𣄘	fanggu	fg
𣄙	fangguang	fg
𣄚	fangsui	fs
𣄛	fangtong	ft
𣄜	fanggui	fg
𣄝	fangqian	fq
𣄞	fangge	fg
𣄟	fangya	fy
𣄠	fangquan	fq
𣄡	fanghuo	fh
𣄢	fangtong	ft
𣄣	fangyu	fy
𣄤	fanglu	fl
𣄥	pangzhi	pz
𣄦	fanghuo	fh
𣄧	fangyi	fy
𣄨	fangjin	fj
𣄩	fangye	fy
𣄪	fangmie	fm
𣄫	fangye	fy
𣄬	pangli	pl
𣄭	jipie	jp
𣄮	jikou	jk
𣄯	fanji	fj
𣄰	jike	jk
𣄱	jigui	jg
𣄲	jiwei	jw
𣄳	wuchuan	wc
𣄴	jijing	jj
𣄵	jingji	jj
𣄶	jingji	jj
𣄷	jijing	jj
𣄸	jiguo	jg
𣄹	xiji	xj
𣄺	jiwei	jw
𣄻	riyi	ry
𣄼	hengri	hr
𣄽	yiri	yr
𣄾	rier	re
𣄿	riding	rd
𣅀	erri	er
𣅁	riren	rr
𣅂	rier	re
𣅃	ribu	rb
𣅄	zhiri	zr
𣅅	rinai	rn
𣅆	hengri	hr
𣅇	riwang	rw
𣅈	wenri	wr
𣅉	riren	rr
𣅊	rikou	rk
𣅋	riba	rb
𣅌	qianri	qr
𣅍	kouri	kr
𣅎	chari	cr
𣅏	rier	re
𣅐	richa	rc
𣅑	bari	br
𣅒	rituo	rt
𣅓	rinv	rn
𣅔	rida	rd
𣅕	richuan	rc
𣅖	riwang	rw
𣅗	riji	rj
𣅘	rikui	rk
𣅙	rikui	rk
𣅚	rinei	rn
𣅛	changri	cr
𣅜	biri	br
𣅝	riyou	ry
𣅞	pieri	pr
𣅟	riyin	ry
𣅠	riqi	rq
𣅡	rijue	rj
𣅢	rishi	rs
𣅣	riheng	rh
𣅤	riquan	rq
𣅥	rihu	rh
𣅦	changri	cr
𣅧	riran	rr
𣅨	wangri	wr
𣅩	shiri	sr
𣅪	ribi	rb
𣅫	riniu	rn
𣅬	rier	re
𣅭	ridian	rd
𣅮	risheng	rs
𣅯	erri	er
𣅰	gairi	gr
𣅱	xiaori	xr
𣅲	shouri	sr
𣅳	rida	rd
𣅴	richou	rc
𣅵	rixin	rx
𣅶	riliu	rl
𣅷	rixiong	rx
𣅸	rita	rt
𣅹	rikai	rk
𣅺	riyou	ry
𣅻	rijiong	rj
𣅼	rijia	rj
𣅽	richu	rc
𣅾	ranri	rr
𣅿	ritai	rt
𣆀	riran	rr
𣆁	piri	pr
𣆂	rixuan	rx
𣆃	danyun	dy
𣆄	riwu	rw
𣆅	rifa	rf
𣆆	ribai	rb
𣆇	shiri	sr
𣆈	riwu	rw
𣆉	rishi	rs
𣆊	zhongri	zr
𣆋	rier	re
𣆌	yuanri	yr
𣆍	rifang	rf
𣆎	riyong	ry
𣆏	ripi	rp
𣆐	rilu	rl
𣆑	ceri	cr
𣆒	rishu	rs
𣆓	rigong	rg
𣆔	rizhou	rz
𣆕	liri	lr
𣆖	rihuang	rh
𣆗	rihe	rh
𣆘	rili	rl
𣆙	rihan	rh
𣆚	riduo	rd
𣆛	xiri	xr
𣆜	rishang	rs
𣆝	rier	re
𣆞	danzheng	dz
𣆟	cidan	cd
𣆠	riyou	ry
𣆡	riwei	rw
𣆢	rizi	rz
𣆣	richong	rc
𣆤	guangri	gr
𣆥	guangri	gr
𣆦	rizhu	rz
𣆧	riwu	rw
𣆨	jiuyong	jy
𣆩	ceri	cr
𣆪	riding	rd
𣆫	jiuri	jr
𣆬	richuan	rc
𣆭	rishu	rs
𣆮	rizhuang	rz
𣆯	rixing	rx
𣆰	riyi	ry
𣆱	ricun	rc
𣆲	riqin	rq
𣆳	rigeng	rg
𣆴	riyan	ry
𣆵	rijiu	rj
𣆶	mianri	mr
𣆷	ritu	rt
𣆸	xueyou	xy
𣆹	riqie	rq
𣆺	rixiao	rx
𣆻	riyou	ry
𣆼	risheng	rs
𣆽	danding	dd
𣆾	qianri	qr
𣆿	rimao	rm
𣇀	jiuri	jr
𣇁	rijing	rj
𣇂	rijin	rj
𣇃	juanjiu	jj
𣇄	rizhe	rz
𣇅	rimao	rm
𣇆	risong	rs
𣇇	yandan	yd
𣇈	riyao	ry
𣇉	rijun	rj
𣇊	rifou	rf
𣇋	ridui	rd
𣇌	rizhi	rz
𣇍	rijia	rj
𣇎	rigong	rg
𣇏	rixing	rx
𣇐	richi	rc
𣇑	jiufeng	jf
𣇒	richeng	rc
𣇓	ripian	rp
𣇔	rifeng	rf
𣇕	riwo	rw
𣇖	rigong	rg
𣇗	riyou	ry
𣇘	liri	lr
𣇙	maori	mr
𣇚	riyou	ry
𣇛	rixin	rx
𣇜	ribei	rb
𣇝	rileng	rl
𣇞	riyu	ry
𣇟	rilao	rl
𣇠	riji	rj
𣇡	riji	rj
𣇢	ribi	rb
𣇣	rizhi	rz
𣇤	rihu	rh
𣇥	rihui	rh
𣇦	richui	rc
𣇧	rizhi	rz
𣇨	rili	rl
𣇩	yari	yr
𣇪	rihuo	rh
𣇫	riguo	rg
𣇬	riqiong	rq
𣇭	risheng	rs
𣇮	muri	mr
𣇯	rihu	rh
𣇰	rilin	rl
𣇱	kuangri	kr
𣇲	rihun	rh
𣇳	riqi	rq
𣇴	mingri	mr
𣇵	riming	rm
𣇶	xueri	xr
𣇷	rifang	rf
𣇸	huiri	hr
𣇹	shuiri	sr
𣇺	dianri	dr
𣇻	shiri	sr
𣇼	rizong	rz
𣇽	rizhuo	rz
𣇾	riling	rl
𣇿	riri	rr
𣈀	rikun	rk
𣈁	rimu	rm
𣈂	mingren	mr
𣈃	riru	rr
𣈄	ricai	rc
𣈅	linri	lr
𣈆	erri	er
𣈇	buming	bm
𣈈	rijin	rj
𣈉	shuri	sr
𣈊	muri	mr
𣈋	riye	ry
𣈌	muri	mr
𣈍	riyi	ry
𣈎	rimu	rm
𣈏	rixi	rx
𣈐	rizhuang	rz
𣈑	rixing	rx
𣈒	riqi	rq
𣈓	ripi	rp
𣈔	ridian	rd
𣈕	rimei	rm
𣈖	rifeng	rf
𣈗	deri	dr
𣈘	ridian	rd
𣈙	rili	rl
𣈚	rizhuang	rz
𣈛	rigua	rg
𣈜	ride	rd
𣈝	rifeng	rf
𣈞	rikong	rk
𣈟	yangxun	yx
𣈠	ricao	rc
𣈡	shizhang	sz
𣈢	ribei	rb
𣈣	rimian	rm
𣈤	caori	cr
𣈥	riyu	ry
𣈦	riyu	ry
𣈧	ritu	rt
𣈨	rigan	rg
𣈩	riba	rb
𣈪	shuairi	sr
𣈫	rili	rl
𣈬	rituan	rt
𣈭	riyu	ry
𣈮	rishi	rs
𣈯	riyu	ry
𣈰	rishi	rs
𣈱	shenyi	sy
𣈲	rimei	rm
𣈳	rimian	rm
𣈴	rimiao	rm
𣈵	riyu	ry
𣈶	riheng	rh
𣈷	rihuang	rh
𣈸	rimei	rm
𣈹	ritu	rt
𣈺	rixi	rx
𣈻	rizai	rz
𣈼	rifeng	rf
𣈽	riye	ry
𣈾	riniu	rn
𣈿	riyan	ry
𣉀	rijun	rj
𣉁	riran	rr
𣉂	ricao	rc
𣉃	rikao	rk
𣉄	fengshi	fs
𣉅	rizou	rz
𣉆	rishi	rs
𣉇	rize	rz
𣉈	hunzhao	hz
𣉉	rigui	rg
𣉊	riwu	rw
𣉋	riyao	ry
𣉌	riwei	rw
𣉍	riwei	rw
𣉎	richa	rc
𣉏	riling	rl
𣉐	rishu	rs
𣉑	jiuchang	jc
𣉒	rihe	rh
𣉓	ritu	rt
𣉔	rizao	rz
𣉕	risang	rs
𣉖	rigen	rg
𣉗	riang	ra
𣉘	nengri	nr
𣉙	zhuori	zr
𣉚	riyang	ry
𣉛	rijin	rj
𣉜	risha	rs
𣉝	yirong	yr
𣉞	rigao	rg
𣉟	riqi	rq
𣉠	qiuyang	qy
𣉡	hanting	ht
𣉢	rimi	rm
𣉣	yongri	yr
𣉤	rixun	rx
𣉥	riyin	ry
𣉦	ripian	rp
𣉧	rixiao	rx
𣉨	rigui	rg
𣉩	yari	yr
𣉪	rihuang	rh
𣉫	riyang	ry
𣉬	rizi	rz
𣉭	miri	mr
𣉮	rizhen	rz
𣉯	turi	tr
𣉰	riguo	rg
𣉱	riben	rb
𣉲	rizhi	rz
𣉳	riba	rb
𣉴	rizhi	rz
𣉵	richu	rc
𣉶	rihao	rh
𣉷	yili	yl
𣉸	riji	rj
𣉹	rixu	rx
𣉺	yangshi	ys
𣉻	zhigan	zg
𣉼	rigai	rg
𣉽	rili	rl
𣉾	riqu	rq
𣉿	ricao	rc
𣊀	riliu	rl
𣊁	aori	ar
𣊂	riren	rr
𣊃	wuri	wr
𣊄	huiri	hr
𣊅	ziri	zr
𣊆	ziri	zr
𣊇	riyin	ry
𣊈	rilu	rl
𣊉	riji	rj
𣊊	rinie	rn
𣊋	hanzhi	hz
𣊌	ridui	rd
𣊍	rima	rm
𣊎	rizhi	rz
𣊏	ridan	rd
𣊐	richen	rc
𣊑	churi	cr
𣊒	shisi	ss
𣊓	zhiri	zr
𣊔	caori	cr
𣊕	riyan	ry
𣊖	jingda	jd
𣊗	riyu	ry
𣊘	riyu	ry
𣊙	rizhan	rz
𣊚	ricong	rc
𣊛	caori	cr
𣊜	riren	rr
𣊝	rimu	rm
𣊞	riqian	rq
𣊟	rigan	rg
𣊠	rihuo	rh
𣊡	risi	rs
𣊢	rixi	rx
𣊣	xixi	xx
𣊤	richen	rc
𣊥	rihuo	rh
𣊦	congchang	cc
𣊧	mingming	mm
𣊨	caori	cr
𣊩	rifan	rf
𣊪	ripu	rp
𣊫	changchang	cc
𣊬	rishun	rs
𣊭	changchang	cc
𣊮	xingri	xr
𣊯	riyun	ry
𣊰	shiya	sy
𣊱	rifen	rf
𣊲	riwu	rw
𣊳	rihuo	rh
𣊴	rishi	rs
𣊵	rier	re
𣊶	ribi	rb
𣊷	yiyi	yy
𣊸	wujin	wj
𣊹	ritong	rt
𣊺	rijian	rj
𣊻	rimu	rm
𣊼	jingliang	jl
𣊽	minshan	ms
𣊾	ribei	rb
𣊿	richao	rc
𣋀	laoxing	lx
𣋁	rizui	rz
𣋂	richao	rc
𣋃	richuang	rc
𣋄	xixiang	xx
𣋅	nianri	nr
𣋆	rirun	rr
𣋇	yangdui	yd
𣋈	shangri	sr
𣋉	riao	ra
𣋊	ridan	rd
𣋋	rimian	rm
𣋌	rikui	rk
𣋍	rifei	rf
𣋎	shanchang	sc
𣋏	rinong	rn
𣋐	mingzhe	mz
𣋑	riye	ry
𣋒	rikui	rk
𣋓	rikui	rk
𣋔	ridian	rd
𣋕	chunfeng	cf
𣋖	rizui	rz
𣋗	riye	ry
𣋘	rihui	rh
𣋙	ridian	rd
𣋚	rixin	rx
𣋛	riluo	rl
𣋜	rijin	rj
𣋝	rizao	rz
𣋞	rigai	rg
𣋟	rimo	rm
𣋠	riqi	rq
𣋡	rishi	rs
𣋢	rike	rk
𣋣	rijian	rj
𣋤	xiongri	xr
𣋥	ridi	rd
𣋦	rishi	rs
𣋧	siri	sr
𣋨	chunqin	cq
𣋩	rila	rl
𣋪	ribin	rb
𣋫	jianri	jr
𣋬	rishou	rs
𣋭	rijuan	rj
𣋮	xingkui	xk
𣋯	hunchuan	hc
𣋰	baofan	bf
𣋱	rixing	rx
𣋲	rilie	rl
𣋳	rihuo	rh
𣋴	luri	lr
𣋵	rile	rl
𣋶	rigong	rg
𣋷	riguang	rg
𣋸	ritan	rt
𣋹	ribi	rb
𣋺	rimai	rm
𣋻	rimie	rm
𣋼	rilu	rl
𣋽	rijian	rj
𣋾	rike	rk
𣋿	erri	er
𣌀	rixi	rx
𣌁	rizhu	rz
𣌂	rizhu	rz
𣌃	wuwen	ww
𣌄	rili	rl
𣌅	rili	rl
𣌆	rizhu	rz
𣌇	xiongri	xr
𣌈	riyan	ry
𣌉	rikui	rk
𣌊	rixia	rx
𣌋	rilian	rl
𣌌	xingxu	xx
𣌍	rinie	rn
𣌎	shiwei	sw
𣌏	rihuo	rh
𣌐	rikou	rk
𣌑	rimi	rm
𣌒	yidui	yd
𣌓	riguan	rg
𣌔	rie	re
𣌕	rixun	rx
𣌖	rinan	rn
𣌗	rijue	rj
𣌘	ripu	rp
𣌙	rigan	rg
𣌚	danjing	dj
𣌛	dansang	ds
𣌜	xingli	xl
𣌝	rinang	rn
𣌞	puyang	py
𣌟	riling	rl
𣌠	chunchun	cc
𣌡	baisi	bs
𣌢	rixiao	rx
𣌣	bairen	br
𣌤	rishao	rs
𣌥	rifen	rf
𣌦	riyu	ry
𣌧	ceri	cr
𣌨	shenri	sr
𣌩	kuangren	kr
𣌪	riyi	ry
𣌫	ribei	rb
𣌬	risi	rs
𣌭	heri	hr
𣌮	rizhou	rz
𣌯	riji	rj
𣌰	rilei	rl
𣌱	quri	qr
𣌲	ribi	rb
𣌳	yaori	yr
𣌴	quyue	qy
𣌵	quji	qj
𣌶	gongqu	gq
𣌷	ritu	rt
𣌸	riji	rj
𣌹	qupi	qp
𣌺	qujiao	qj
𣌻	rimi	rm
𣌼	shiri	sr
𣌽	shiya	sy
𣌾	shendong	sd
𣌿	richu	rc
𣍀	qudai	qd
𣍁	weiqu	wq
𣍂	guqu	gq
𣍃	jianshen	js
𣍄	bafu	bf
𣍅	biaoqu	bq
𣍆	qingri	qr
𣍇	gengqu	gq
𣍈	fengri	fr
𣍉	riguo	rg
𣍊	hejin	hj
𣍋	huixia	hx
𣍌	dairi	dr
𣍍	yuanqu	yq
𣍎	zengyuan	zy
𣍏	gengcha	gc
𣍐	wuhui	wh
𣍑	riyi	ry
𣍒	datu	dt
𣍓	rier	re
𣍔	pieri	pr
𣍕	quyao	qy
𣍖	caodong	cd
𣍗	qinqu	qq
𣍘	dongri	dr
𣍙	genglian	gl
𣍚	shuling	sl
𣍛	gengche	gc
𣍜	shuhuang	sh
𣍝	pieyue	py
𣍞	yueren	yr
𣍟	gaiyue	gy
𣍠	yuewu	yw
𣍡	wuyue	wy
𣍢	renyue	ry
𣍣	wuyue	wy
𣍤	shuiyue	sy
𣍥	yueer	ye
𣍦	yuexiong	yx
𣍧	chuyue	cy
𣍨	yueer	ye
𣍩	yuehe	yh
𣍪	yuebing	yb
𣍫	yueli	yl
𣍬	yuekou	yk
𣍭	yuehu	yh
𣍮	yueni	yn
𣍯	yuejun	yj
𣍰	yuejia	yj
𣍱	yuehong	yh
𣍲	yuenv	yn
𣍳	youke	yk
𣍴	yueyuan	yy
𣍵	yuelin	yl
𣍶	yuewen	yw
𣍷	yueliang	yl
𣍸	miyue	my
𣍹	yuecao	yc
𣍺	yuesheng	ys
𣍻	yuehuo	yh
𣍼	zhouyue	zy
𣍽	yuexi	yx
𣍾	yueyu	yy
𣍿	yuelai	yl
𣎀	yuedian	yd
𣎁	kuangyue	ky
𣎂	yueyong	yy
𣎃	yueshang	ys
𣎄	yueheng	yh
𣎅	yuehe	yh
𣎆	wangfan	wf
𣎇	yuemu	ym
𣎈	yuebu	yb
𣎉	youcheng	yc
𣎊	yuemei	ym
𣎋	baiyue	by
𣎌	yuecao	yc
𣎍	zhuoyue	zy
𣎎	yueren	yr
𣎏	guyou	gy
𣎐	yueren	yr
𣎑	yuekuan	yk
𣎒	yuetian	yt
𣎓	yuexuan	yx
𣎔	yuexian	yx
𣎕	daoshui	ds
𣎖	yuezhi	yz
𣎗	yuexin	yx
𣎘	erri	er
𣎙	yuefang	yf
𣎚	yuehei	yh
𣎛	yueyu	yy
𣎜	yuemian	ym
𣎝	yuesi	ys
𣎞	baling	bl
𣎟	yuexun	yx
𣎠	zhuopeng	zp
𣎡	pengding	pd
𣎢	yuechao	yc
𣎣	yuejiao	yj
𣎤	yuege	yg
𣎥	youqu	yq
𣎦	yuenang	yn
𣎧	yuehuo	yh
𣎨	yuecong	yc
𣎩	yanyue	yy
𣎪	yuegao	yg
𣎫	yuetuan	yt
𣎬	youfu	yf
𣎭	yaoqu	yq
𣎮	yuexi	yx
𣎯	yueri	yr
𣎰	yuexun	yx
𣎱	yueshi	ys
𣎲	yuedang	yd
𣎳	shier	se
𣎴	hengge	hg
𣎵	caoren	cr
𣎶	muheng	mh
𣎷	muyi	my
𣎸	muliao	ml
𣎹	muyi	my
𣎺	muma	mm
𣎻	kuangmu	km
𣎼	yimu	ym
𣎽	qimu	qm
𣎾	gaimu	gm
𣎿	fanmu	fm
𣏀	mudao	md
𣏁	kuangmu	km
𣏂	chamu	cm
𣏃	mujin	mj
𣏄	tubu	tb
𣏅	tumu	tm
𣏆	mufan	mf
𣏇	musi	ms
𣏈	mume	mm
𣏉	renmu	rm
𣏊	mukuang	mk
𣏋	ermu	em
𣏌	musi	ms
𣏍	zimu	zm
𣏎	muya	my
𣏏	hengmu	hm
𣏐	muxi	mx
𣏑	mujin	mj
𣏒	muwan	mw
𣏓	mukui	mk
𣏔	zhimu	zm
𣏕	mumu	mm
𣏖	muyin	my
𣏗	yumu	ym
𣏘	mujin	mj
𣏙	muqi	mq
𣏚	mushi	ms
𣏛	muna	mn
𣏜	mumian	mm
𣏝	murong	mr
𣏞	muyou	my
𣏟	mumu	mm
𣏠	muyao	my
𣏡	muzhi	mz
𣏢	muzhuan	mz
𣏣	mubian	mb
𣏤	mufu	mf
𣏥	muliu	ml
𣏦	huomu	hm
𣏧	muchi	mc
𣏨	mujing	mj
𣏩	gemu	gm
𣏪	mushuang	ms
𣏫	muli	ml
𣏬	muri	mr
𣏭	muwu	mw
𣏮	hekou	hk
𣏯	muren	mr
𣏰	fenmu	fm
𣏱	muqi	mq
𣏲	shimu	sm
𣏳	muyao	my
𣏴	muren	mr
𣏵	muran	mr
𣏶	mushui	ms
𣏷	kuangmu	km
𣏸	mushi	ms
𣏹	muhuo	mh
𣏺	mukong	mk
𣏻	naimu	nm
𣏼	nianmu	nm
𣏽	mupu	mp
𣏾	muge	mg
𣏿	mutian	mt
𣐀	muwen	mw
𣐁	shimu	sm
𣐂	yunmu	ym
𣐃	emu	em
𣐄	muzhong	mz
𣐅	muren	mr
𣐆	muqie	mq
𣐇	fengmu	fm
𣐈	mufu	mf
𣐉	nimu	nm
𣐊	mujiu	mj
𣐋	muyue	my
𣐌	mupi	mp
𣐍	mutu	mt
𣐎	muwa	mw
𣐏	muyou	my
𣐐	muxiao	mx
𣐑	muci	mc
𣐒	mujiong	mj
𣐓	muer	me
𣐔	muyou	my
𣐕	mujing	mj
𣐖	muyi	my
𣐗	renmu	rm
𣐘	muding	md
𣐙	muxuan	mx
𣐚	mushui	ms
𣐛	muhu	mh
𣐜	muhong	mh
𣐝	muza	mz
𣐞	muyou	my
𣐟	tumu	tm
𣐠	mudan	md
𣐡	mumin	mm
𣐢	mugong	mg
𣐣	mushao	ms
𣐤	mujiu	mj
𣐥	mumu	mm
𣐦	ximu	xm
𣐧	muli	ml
𣐨	munai	mn
𣐩	baimu	bm
𣐪	muyou	my
𣐫	shuimu	sm
𣐬	mutian	mt
𣐭	mutian	mt
𣐮	qiumu	qm
𣐯	chumu	cm
𣐰	muyi	my
𣐱	yimu	ym
𣐲	mujiao	mj
𣐳	mushi	ms
𣐴	mushi	ms
𣐵	muchen	mc
𣐶	mukuang	mk
𣐷	qiumu	qm
𣐸	mukou	mk
𣐹	muxiao	mx
𣐺	mulv	ml
𣐻	genmu	gm
𣐼	mugan	mg
𣐽	liwei	lw
𣐾	muxiu	mx
𣐿	muyi	my
𣑀	muda	md
𣑁	muchong	mc
𣑂	mukao	mk
